,room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,latitude,longitude,last_modified_hour,last_modified_minutes,last_modified_Day,last_modified_Month,last_modified_Year,Earned
16814,3392951,17117342,Private room,Centrum West,5,5.0,2,1,90,Only 50 meters from Dam Square,52.37177,4.895588,16,16,22,7,2017,450
16815,2480621,12690109,Private room,Centrum West,66,5.0,2,1,102,Downtown - Amsterdam city centre,52.375344,4.89253,16,16,22,7,2017,6732
16816,17793276,18630051,Private room,Centrum Oost,0,0.0,3,1,96,Cosy & friendly apartment in Amsterdam's center,52.367687,4.92546,16,16,22,7,2017,0
16817,6724019,26983232,Private room,Oostelijk Havengebied / Indische Buurt,23,5.0,2,1,102,modern and nice room in the centre,52.376626,4.923857,16,16,22,7,2017,2346
16818,6382851,33271212,Private room,Centrum West,152,4.5,2,1,90,Beautiful room in the Heart of Adam,52.375867,4.892204,16,16,22,7,2017,13680
16819,6373767,33214578,Private room,De Pijp / Rivierenbuurt,71,5.0,2,0,100,Studio in the “Pijp” near hotspots,52.352279,4.895673,16,16,22,7,2017,7100
16820,3432460,16773480,Private room,De Baarsjes / Oud West,6,4.5,2,1,90,Hipster place Amsterdam west,52.370977,4.863317,16,16,22,7,2017,540
16821,12296267,66168441,Private room,Westerpark,0,0.0,1,1,95,"Nice comfy room, magnificent view",52.376951,4.873569,16,16,22,7,2017,0
16822,7524474,7425977,Private room,Centrum Oost,6,4.5,2,1,90,Super Central Apartment Amsterdam,52.361766,4.889605,16,16,22,7,2017,540
16823,7254698,37984061,Private room,Centrum Oost,15,4.5,2,1,100,Private room in center of Amsterdam,52.359613,4.894241,16,16,22,7,2017,1500
16824,12505681,67022221,Private room,Westerpark,1,0.0,2,1,95,"Nice comfy room, magnificent view",52.37632,4.875438,16,16,22,7,2017,95
16825,13292373,6584413,Private room,De Pijp / Rivierenbuurt,6,4.5,2,1,95,Comfortable Room in De Pijp in a lively area.,52.352862,4.893639,16,16,22,7,2017,570
16826,6567951,11691547,Private room,De Pijp / Rivierenbuurt,171,5.0,3,0,102,Bright City Apartment Amsterdam,52.355494,4.888314,16,16,22,7,2017,17442
16827,17505754,118649405,Private room,Noord-West / Noord-Midden,17,5.0,2,1,109,Cozy garden view room in museumdistrict,52.35393,4.878772,16,26,22,7,2017,1853
16828,19820399,102063858,Private room,Centrum West,0,0.0,2,1,118,Sailing houseboat in city centre!,52.383614,4.894921,16,26,22,7,2017,0
16829,7473078,39141384,Private room,Centrum Oost,40,4.5,2,1,114,ROOM+PRIVATE BALCONY ON SUPER LOCATED GARDEN-BOAT,52.367018,4.92848,16,26,22,7,2017,4560
16830,19527582,3522528,Private room,Oud Oost,1,0.0,2,1,119,"Room in GREAT penthouse, incl. large roof terrace",52.352868,4.910542,16,26,22,7,2017,119
16831,10198226,37463467,Private room,Centrum West,31,4.5,2,0,118,NICE STUDIO IN RED LIGHT STREET,52.374322,4.900047,16,26,22,7,2017,3658
16832,5196906,26885157,Private room,Westerpark,135,5.0,2,1,106,"Studio at westerpark, free bikes",52.386324,4.871653,16,26,22,7,2017,14310
16833,14942884,344312,Private room,Centrum West,13,4.5,2,0,109,Cozy & bright studio with balcony in the Jordaan!,52.371592,4.877808,16,26,22,7,2017,1417
16834,15749677,21681447,Private room,Centrum West,31,4.5,4,1,118,Luxurious home on top location,52.380579,4.894342,16,26,22,7,2017,3658
16835,13112686,64280872,Private room,Centrum Oost,38,5.0,2,1,119,Artistic and authentic room with own bathroom!,52.362291,4.90988,16,26,22,7,2017,4522
16836,14120824,11582824,Private room,Centrum West,10,5.0,2,1,108,Beautiful canal view room in heart of Amsterdam,52.374755,4.879227,16,26,22,7,2017,1080
16837,16687273,17885095,Private room,Centrum Oost,39,4.5,2,1,107,Cheap room next to central station amsterdam,52.372232,4.902156,16,26,22,7,2017,4173
16838,17426075,117882203,Private room,Oostelijk Havengebied / Indische Buurt,14,4.5,2,2,107,GREAT View Luxe Canal Residence 10 min City Center,52.375825,4.947265,16,26,22,7,2017,1498
16839,14292407,27484922,Private room,De Pijp / Rivierenbuurt,35,4.5,2,0,119,Super Central & Bright Studio with Canal View!,52.356726,4.899936,16,26,22,7,2017,4165
16840,1025838,5647814,Private room,Oud Oost,16,5.0,2,1,90,LOVELY BROWSTONE NEAR CENTRE,52.352806,4.918823,16,16,22,7,2017,1440
16841,16116438,78690716,Private room,De Pijp / Rivierenbuurt,19,5.0,2,1,84,"Organic, community house: Toko Coco",52.352298,4.906852,16,16,22,7,2017,1596
16842,10118060,51923561,Private room,De Pijp / Rivierenbuurt,2,0.0,1,1,90,Lovely Light Bedroom in De Pijp,52.355841,4.904839,16,16,22,7,2017,180
16843,18765651,17665963,Private room,Oud Oost,8,5.0,2,1,96,"Room with a view of the park, fun area, 2p",52.358712,4.918812,16,16,22,7,2017,768
16844,17326364,116964548,Private room,Centrum Oost,5,4.0,2,0,90,"Light, Cosy, City Centre Studio with new Furniture",52.362899,4.904498,16,16,22,7,2017,450
16845,19281116,27011643,Private room,De Pijp / Rivierenbuurt,2,0.0,1,1,89,Tranquil in the centre,52.356956,4.889017,16,16,22,7,2017,178
16846,18734552,2917767,Private room,Oud Oost,1,0.0,2,1,90,COZY ROOM WITH BALCONY: 5 MIN TO CITY CENTER,52.357902,4.913065,16,16,22,7,2017,90
16847,13994948,4742444,Private room,De Pijp / Rivierenbuurt,18,5.0,2,1,90,Cozy Duplex in De Pijp,52.3527,4.904824,16,16,22,7,2017,1620
16848,8777794,46012775,Private room,Oud Oost,66,4.5,2,1,90,Beautiful styled room in center,52.359696,4.914001,16,16,22,7,2017,5940
16849,13807846,30151033,Private room,De Pijp / Rivierenbuurt,55,4.5,2,1,102,Cozy bedroom with a sunny balcony,52.352671,4.88811,16,16,22,7,2017,5610
16850,2774924,5988,Private room,Noord-West / Noord-Midden,80,4.5,2,1,96,Ground floor room in Museum Quarter,52.356083,4.886198,16,16,22,7,2017,7680
16851,19306103,40573607,Private room,Centrum Oost,0,0.0,2,0,102,Great apartment in city center Amsterdam,52.358501,4.900098,16,16,22,7,2017,0
16852,15286319,76607139,Private room,De Pijp / Rivierenbuurt,65,5.0,2,1,85,"NEW Studio Apartment, Pijp district, Amsterdam",52.356293,4.893967,16,16,22,7,2017,5525
16853,15351777,97930014,Private room,De Pijp / Rivierenbuurt,22,4.5,2,1,96,"Central, cosy, clean and comfortable room.",52.352669,4.891859,16,16,22,7,2017,2112
16854,5529071,28551642,Private room,Oud Oost,72,4.0,2,1,103,Super cozy sunlight  double room,52.358596,4.9159,16,16,22,7,2017,7416
16855,4222532,21913912,Private room,De Pijp / Rivierenbuurt,166,4.5,2,1,95,Comfortable room in de Pijp,52.357351,4.89009,16,16,22,7,2017,15770
16856,14274504,82297492,Private room,Centrum West,49,5.0,3,0,96,Artist's Studio❤️Jordaan/Canals/CityCenter PRIVATE,52.368744,4.881836,16,16,22,7,2017,4704
16857,10984291,46012775,Private room,Centrum Oost,87,5.0,2,1,90,Beautiful styled room with kitchen,52.35913,4.897517,16,16,22,7,2017,7830
16858,12118092,9237467,Private room,Noord-West / Noord-Midden,108,5.0,2,1,87,Cozy room in penthouse at gracht,52.351721,4.885904,16,16,22,7,2017,9396
16859,15831277,13697124,Private room,De Pijp / Rivierenbuurt,6,5.0,2,1,96,"Private Room in Beautiful, Renovated Apartment",52.355289,4.901186,16,16,22,7,2017,576
16860,8591687,20358179,Private room,Centrum West,121,5.0,2,1,84,Buenas Noches  (back-room),52.37544,4.895381,16,16,22,7,2017,10164
16861,2058590,6316912,Private room,Noord-West / Noord-Midden,289,5.0,2,0,102,RUYSDAEL in the Museum Quarter,52.353692,4.879832,16,16,22,7,2017,29478
16862,19973782,17231475,Private room,De Baarsjes / Oud West,0,0.0,2,1,89,'Arc de Triomphe' House Boat in Amsterdam Center,52.360437,4.857972,16,15,22,7,2017,0
16863,1713474,7356863,Private room,De Baarsjes / Oud West,133,4.5,2,1,90,Amsterdam School Building,52.361646,4.863886,16,15,22,7,2017,11970
16864,15316720,97585004,Private room,Westerpark,20,4.5,2,1,82,Cozy bedroom in Westerpark,52.389704,4.880531,16,15,22,7,2017,1640
16865,10028491,51487367,Private room,Westerpark,0,0.0,2,1,84,Room for couple 5 min from center,52.386029,4.869645,16,15,22,7,2017,0
16866,11296238,27733078,Private room,Centrum West,1,0.0,2,1,84,Private bedroom in Jordaan.,52.383665,4.886421,16,15,22,7,2017,84
16867,9456017,5342880,Private room,Bos en Lommer,0,0.0,2,1,90,Chill out with your private rooftop,52.3789,4.860143,16,15,22,7,2017,0
16868,16024313,1477248,Private room,Centrum West,1,0.0,4,2,92,205 Haarlemmerdijk City Apt II,52.384379,4.885035,16,15,22,7,2017,92
16869,7243622,3683975,Private room,Westerpark,0,0.0,2,1,84,Beautiful 45m2 Room in Amsterdam !,52.389754,4.880338,16,15,22,7,2017,0
16870,3115135,15828426,Private room,Centrum Oost,323,4.5,2,1,92,Cozy room with shared living,52.364633,4.883105,16,13,22,7,2017,29716
16871,730916,3267693,Private room,Westerpark,201,5.0,2,1,90,Bed & Breakfast in Oud West Area,52.373895,4.869318,16,13,22,7,2017,18090
16872,19023256,21904375,Private room,De Baarsjes / Oud West,4,5.0,2,1,90,Spacious room with balcony close to city center,52.370688,4.853663,16,13,22,7,2017,360
16873,13072623,72470658,Private room,Oostelijk Havengebied / Indische Buurt,17,5.0,2,1,84,Sunny spacious private room with a small terrace,52.37161,4.949176,16,13,22,7,2017,1428
16874,5239011,27112089,Private room,Oud Oost,45,5.0,4,1,102,Nostalgic Rooms on canal & millview,52.36552,4.927435,16,13,22,7,2017,4590
16875,16238877,73696788,Private room,Centrum Oost,1,0.0,2,1,84,Amstel Apartment bedroom for rent,52.365062,4.902822,16,13,22,7,2017,84
16876,14073427,9738484,Private room,Centrum Oost,9,4.5,2,1,96,Room with garden in central but quiet area,52.36748,4.926367,16,13,22,7,2017,864
16877,3700218,18823161,Private room,Noord West,92,5.0,2,1,84,"Picturesque, quiet, free parking",52.416449,4.899885,16,13,22,7,2017,7728
16878,15640787,79965167,Private room,Centrum West,5,4.0,2,1,90,beautiful room 2mins from dam,52.376478,4.892858,16,13,22,7,2017,450
16879,8914318,5088588,Private room,Centrum Oost,2,0.0,2,1,84,Private room in centre of Amsterdam,52.372537,4.918462,16,13,22,7,2017,168
16880,12110035,27413083,Private room,Oostelijk Havengebied / Indische Buurt,36,5.0,2,1,90,Private bedroom 5 min. from centre,52.375881,4.924488,16,13,22,7,2017,3240
16881,7412279,38833708,Private room,Centrum Oost,12,5.0,2,1,84,Comfi bed and livingroom in Ams!,52.363548,4.912239,16,13,22,7,2017,1008
16882,15341897,97819610,Private room,Oostelijk Havengebied / Indische Buurt,9,5.0,2,1,84,Sunny apartment in Amsterdam East (downstairs),52.363549,4.937843,16,13,22,7,2017,756
16883,13693838,56022585,Private room,Centrum Oost,5,4.5,2,1,84,"Cosy private room, near Centraal and parks",52.367435,4.928519,16,13,22,7,2017,420
16884,8751830,8887625,Private room,Noord Oost,35,5.0,2,1,82,Clean room in Amsterdam,52.399016,4.929945,16,13,22,7,2017,2870
16885,1934989,7923273,Private room,Westerpark,9,5.0,2,1,84,Room in cosy apt next to centre,52.389652,4.889142,16,13,22,7,2017,756
16886,17714074,3040855,Private room,Oostelijk Havengebied / Indische Buurt,13,3.5,2,1,89,"Simple room but in vibrant area, flexible host.",52.36522,4.932923,16,13,22,7,2017,1157
16887,12541751,13787854,Private room,Oud Noord,2,0.0,2,1,84,Nice room close to Central Station,52.382489,4.91692,16,13,22,7,2017,168
16888,16866167,3267693,Private room,Centrum West,10,5.0,2,2,90,Bed & Breakfast in Prinseiland Area,52.387853,4.888064,16,13,22,7,2017,900
16889,18882208,131580321,Private room,Centrum West,1,0.0,2,0,102,Cozy backroom in 17th Century canal house | Centre,52.380414,4.890281,16,13,22,7,2017,102
